Name,,Language Code,Region,Desktop keyboard,Code,,Web keyboard,Code,FinalCode,Notes
Inuvialuktun,http://www.languagegeek.com/fvwiki/pmwiki.php?n=Main.ikt-inu,ikt-inu,Arctic,,,*,fv_inuvialuktun_kmw.kmn,,ikt,
Kiputtijjut | ᑭᐳᑦᑎᔾᔪᑦ,http://pirurvik.ca/,ike,Arctic,,,*,inuktitut_pirurvik-1.1.js,,ike,
Qaliujaaqpait | ᖃᓕᐅᔮᖅᐸᐃᑦ,http://pirurvik.ca/,ike,Arctic,,,*,inuktitut_latin-1.1.js,,ike,
Qaniujaaqpait | ᖃᓂᐅᔮᖅᐸᐃᑦ,http://pirurvik.ca/,ike,Arctic,,,*,inuktitut_naqittaut-1.3.js,,ike,
Uummarmiutun,http://www.languagegeek.com/fvwiki/pmwiki.php?n=Main.ikt-uum,ikt-uum,Arctic,,,*,fv_uummarmiutun_kmw.kmn,,ikt,
ᐃᓄᒃᑎᑐᑦ,http://www.languagegeek.com/fvwiki/pmwiki.php?n=Main.ike,ike,Arctic,,,*,fv_eastern_canadian_inuktitut_kmw.kmn,,ike,
Mi'gmawi'simg / Mi'kmawi'simk,http://www.languagegeek.com/fvwiki/pmwiki.php?n=Main.mic,mic,Atlantic,fv_migmaq.kmn,,,fv_migmaq_kmw.kmn,,mic,Is this correct?; Missing ethnologuecodes
Skicinuwatuwewakon,http://www.languagegeek.com/fvwiki/pmwiki.php?n=Main.pqm,pqm,Atlantic,,,*,fv_skicinuwatuwewakon_kmw.kmn,,pqm,
'Uwik̓ala,http://www.languagegeek.com/fvwiki/pmwiki.php?n=Main.Hei-uwi,Hei-uwi,BC Coast,fv_uwikala.kmn,,,fv_uwikala_kmw.kmn,,hei,Missing ethnologuecodes
Dəxʷləšucid,http://www.languagegeek.com/fvwiki/pmwiki.php?n=Main.lut,lut,BC Coast,,,*,fv_dexwlesucid_kmw.kmn,,lut,
Diidiitidq,http://www.languagegeek.com/fvwiki/pmwiki.php?n=Main.noo-dii,noo-dii,BC Coast,fv_diitiidatx.kmn,noo,,fv_diitiidatx_kmw.kmn,noo,noo,
Gitsenimx̱,http://www.languagegeek.com/fvwiki/pmwiki.php?n=Main.git,git,BC Coast,fv_gitsenimx.kmn,git,,fv_gitsenimx_kmw.kmn,git,git,Missing ethnologuecodes
Haiɫzaqvla,http://www.languagegeek.com/fvwiki/pmwiki.php?n=Main.hei-hai,hei-hai,BC Coast,,,*,fv_hailzaqvla_kmw.kmn,,hei,
Halq'eméylem,http://www.languagegeek.com/fvwiki/pmwiki.php?n=Main.hur-hal,hur-hal,BC Coast,fv_halqemeylem.kmn,hur,,fv_halqemeylem_kmw.kmn,hur,hur,
Hǝn̓q̓ǝmin̓ǝm,http://www.languagegeek.com/fvwiki/pmwiki.php?n=Main.hur-hen,hur-hen,BC Coast,fv_henqeminem.kmn,,,fv_henqeminem_kmw.kmn,,hur,Missing ethnologuecodes
Homalco-Klahoose-Sliammon,http://www.languagegeek.com/fvwiki/pmwiki.php?n=Main.coo,coo,BC Coast,,,,fv_klahoose_kmw.kmn,coo-k,coo,Desktop keyboard missing (has a _kmw.kps…); invalid ethnologuecode
Hul’q’umi’num’,http://www.languagegeek.com/fvwiki/pmwiki.php?n=Main.hur-hul,hur-hul,BC Coast,,,*,fv_hulquminum_kmw.kmn,,hur,
Kʷak̓ʷala,http://www.languagegeek.com/fvwiki/pmwiki.php?n=Main.kwk-ame,kwk-ame,BC Coast,fv_kwakwala_liqwala.kmn,,,fv_kwakwala_liqwala_kmw.kmn,,kwk,Is this correct?; missing ethnologuecodes
Kwak̕wala,http://www.languagegeek.com/fvwiki/pmwiki.php?n=Main.kwk-und,kwk-und,BC Coast,fv_kwakwala.kmn,kwk,,fv_kwakwala_kmw.kmn,kwk,kwk,
Nəxʷsƛ̓ay̓əmúcən,http://www.languagegeek.com/fvwiki/pmwiki.php?n=Main.clm,clm,BC Coast,,,*,fv_nexwslayemucen_kmw.kmn,,clm,
Nisg̱a'a,http://www.languagegeek.com/fvwiki/pmwiki.php?n=Main.ncg,ncg,BC Coast,fv_nisgaa.kmn,,,fv_nisgaa_kmw.kmn,,ncg,Missing ethnologuecodes
Nuučaan̓uł,http://www.languagegeek.com/fvwiki/pmwiki.php?n=Main.noo-nuu,noo-nuu,BC Coast,fv_nuucaanul.kmn,,,fv_nuucaanul_kmw.kmn,,noo,Missing ethnologuecodes
Nuxalk,http://www.languagegeek.com/fvwiki/pmwiki.php?n=Main.blc,blc,BC Coast,,,*,fv_nuxalk_kmw.kmn,,blc,
SENĆOŦEN,http://www.languagegeek.com/fvwiki/pmwiki.php?n=Main.str,str,BC Coast,fv_sencoten.kmn,,,fv_sencoten_kmw.kmn,,str,Missing ethnologuecodes
Shashishalhem,http://www.languagegeek.com/fvwiki/pmwiki.php?n=Main.sec,sec,BC Coast,fv_shashishalhem.kmn,,,fv_shashishalhem_kmw.kmn,,sec,Missing ethnologuecodes
Sḵwx̱wúmesh sníchim,http://www.languagegeek.com/fvwiki/pmwiki.php?n=Main.sqa,sqa,BC Coast,,,*,fv_skwxwumesh_snichim_kmw.kmn,,sqa,
Sm'algya̱x,http://www.languagegeek.com/fvwiki/pmwiki.php?n=Main.tsi,tsi,BC Coast,fv_smalgyax.kmn,,,fv_smalgyax_kmw.kmn,,tsi,Missing ethnologuecodes
X̄a'ʼislak̓ala,http://www.languagegeek.com/fvwiki/pmwiki.php?n=Main.has,has,BC Coast,fv_xaislakala.kmn,,,fv_xaislakala_kmw.kmn,,has,Missing ethnologuecode
X̱aayda-X̱aad Kil,http://www.languagegeek.com/fvwiki/pmwiki.php?n=Main.hax,hax,BC Coast,fv_hlgaagilda_xaayda_kil.kmn,,,fv_hlgaagilda_xaayda_kil_kmw.kmn,hax,hax,Missing ethnologuecode for desktop
Dakelh,http://www.languagegeek.com/fvwiki/pmwiki.php?n=Main.caf,caf,BC Interior,fv_dakelh.kmn,crx,,fv_dakelh_kmw.kmn,crx,caf,"Added ethnologuecode from earlier version, may be incorrect"
Ktunaxa,http://www.languagegeek.com/fvwiki/pmwiki.php?n=Main.kut,kut,BC Interior,fv_ktunaxa.kmn,,,fv_ktunaxa_kmw.kmn,,kut,Missing ethnologuecodes
Nedut’en-Witsuwit'en,http://www.languagegeek.com/fvwiki/pmwiki.php?n=Main.bcr,bcr,BC Interior,fv_natwits.kmn,,,fv_natwits_kmw.kmn,,bcr,Missing ethnologuecodes
Nłeʔkepmxcin,http://www.languagegeek.com/fvwiki/pmwiki.php?n=Main.thp-ame,thp-ame,BC Interior,fv_nlekepmxcin.kmn,,,fv_nlekepmxcin_kmw.kmn,,thp,Missing ethnologuecodes
Nlha7kapmxtsin,http://www.languagegeek.com/fvwiki/pmwiki.php?n=Main.thp,thp,BC Interior,,,*,fv_nlha7kapmxtsin_kmw.kmn,,thp,
Nsilxcən,oka,oka,BC Interior,fv_nsilxcen.kmn,,,fv_nsilxcen_kmw.kmn,,oka,Missing ethnologuecodes
Secwepemctsín,http://www.languagegeek.com/fvwiki/pmwiki.php?n=Main.shs,shs,BC Interior,fv_secwepemctsin.kmn,,,fv_secwepemctsin_kmw.kmn,,shs,Missing ethnologuecodes; name was misspelt? Secwepemcstin.kmn instead of secwepemctsin.kmn
Sƛ̓aƛ̓imxəc,http://www.languagegeek.com/fvwiki/pmwiki.php?n=Main.lil-ame,lil-ame,BC Interior,fv_stlatlimxec.kmn,,,fv_stlatlimxec_kmw.kmn,,lil,Missing ethnologuecodes
St̓át̓imcets,http://www.languagegeek.com/fvwiki/pmwiki.php?n=Main.lil-und,lil-und,BC Interior,fv_statimcets.kmn,,,fv_statimcets_kmw.kmn,,lil,Missing kmw keyboard in 7.0.2; missing ethnologuecode
Tāłtān,http://www.languagegeek.com/fvwiki/pmwiki.php?n=Main.tht,tht,BC Interior,fv_taltan.kmn,tht,,fv_taltan_kmw.kmn,tht,tht,
Tsek'ehne,http://www.languagegeek.com/fvwiki/pmwiki.php?n=Main.sek,sek,BC Interior,fv_tsekehne.kmn,sek,,fv_tsekehne_kmw.kmn,,sek,
Tŝilhqot'in,http://www.languagegeek.com/fvwiki/pmwiki.php?n=Main.clc,clc,BC Interior,fv_tsilhqotin.kmn,,,fv_tsilhqotin_kmw.kmn,,clc,"7.0.3 as well as 7.0.2; file names inconsistent, KVK needs extra check; missing ethnologuecodes"
ᑐᑊᘁᗕᑋᗸ,http://www.languagegeek.com/fvwiki/pmwiki.php?n=Main.caf-cans,caf-cans,BC Interior,,,*,fv_southern_carrier_kmw.kmn,,caf,
Anicinapemi8in/Anishinàbemiwin,http://www.languagegeek.com/fvwiki/pmwiki.php?n=Main.Alq,Alq,Eastern Subarctic,,,*,fv_anicinapemi8in_kmw.kmn,,alq,
Atikamekw,http://www.languagegeek.com/fvwiki/pmwiki.php?n=Main.Atj,Atj,Eastern Subarctic,,,*,fv_atikamekw_kmw.kmn,,atj,
Ilnu-Innu Aimun,http://www.languagegeek.com/fvwiki/pmwiki.php?n=Main.moe,moe,Eastern Subarctic,,,*,fv_ilnu_innu_aimun_kmw.kmn,,moe,
ᐃᓂᓂᒧᐎᐣ,http://www.languagegeek.com/fvwiki/pmwiki.php?n=Main.csw,csw,Eastern Subarctic,,,*,fv_swampy_cree_kmw.kmn,,csw,
ᐃᓕᓖᒧᐎᓐ,http://www.languagegeek.com/fvwiki/pmwiki.php?n=Main.crm,crm,Eastern Subarctic,,,*,fv_moose_cree_kmw.kmn,,crm,
ᐄᔨᔫ-ᐄᓅ ᐊᔨᒨᓐ,http://www.languagegeek.com/fvwiki/pmwiki.php?n=Main.crl,crl,Eastern Subarctic,,,*,fv_northern_east_cree_kmw.kmn,,crl,
ᐊᓂᔑᓂᓂᒧᐎᐣ,http://www.languagegeek.com/fvwiki/pmwiki.php?n=Main.ojs,ojs,Eastern Subarctic,,,*,fv_severn_ojibwa_kmw.kmn,,ojs,
ᐊᓂᔑᓇᐯᒧᐎᓐ,http://www.languagegeek.com/fvwiki/pmwiki.php?n=Main.ojb,ojb,Eastern Subarctic,,,*,fv_ojibwa_kmw.kmn,,ojb,
ᓇᔅᑲᐱ,http://www.languagegeek.com/fvwiki/pmwiki.php?n=Main.nsk,nsk,Eastern Subarctic,,,*,fv_naskapi_kmw.kmn,,nsk,
English,,eng,European,,,,european2-1.6.js,,eng,
Français,http://www.languagegeek.com/fvwiki/pmwiki.php?n=Main.fra,fra,European,,,,canadian_french-1.0.js,,fra,
Anishinaabemowin,http://www.languagegeek.com/fvwiki/pmwiki.php?n=Main.Oji,Oji,Great Lakes - St. Lawrence,,,*,fv_anishinaabemowin_kmw.kmn,,oji,
Bodéwadminwen-Nishnabémwen,http://www.languagegeek.com/fvwiki/pmwiki.php?n=Main.pot,pot,Great Lakes - St. Lawrence,,,*,fv_bodewadminwen_kmw.kmn,,pot,
Goyogo̱hó:nǫ',http://www.languagegeek.com/fvwiki/pmwiki.php?n=Main.cay,cay,Great Lakes - St. Lawrence,,,*,fv_goyogohono_kmw.kmn,,cay,
Kanien'kéha-Kanyen'kéha,http://www.languagegeek.com/fvwiki/pmwiki.php?n=Main.moh,moh,Great Lakes - St. Lawrence,fv_kanienkeha_e.kmn,,,fv_kanienkeha_e_kmw.kmn,,moh,Missing ethnologuecodes
Lunáapeewi-hulŭniixsuwáakan,http://www.languagegeek.com/fvwiki/pmwiki.php?n=Main.umu,umu,Great Lakes - St. Lawrence,,,*,fv_lunaapeewi_huluniixsuwaakan_kmw.kmn,,umu,
Onǫda'géga'-Onoñda'géga',http://www.languagegeek.com/fvwiki/pmwiki.php?n=Main.ono,ono,Great Lakes - St. Lawrence,,,*,fv_onodagega_onondagega_kmw.kmn,,ono,
Onödowága,http://www.languagegeek.com/fvwiki/pmwiki.php?n=Main.see,see,Great Lakes - St. Lawrence,,,*,fv_onodowaga_kmw.kmn,,see,
Onʌyota'a:ka,http://www.languagegeek.com/fvwiki/pmwiki.php?n=Main.one,one,Great Lakes - St. Lawrence,,,*,fv_onayotaaka_kmw.kmn,,one,
Skarù·reʔ,http://www.languagegeek.com/fvwiki/pmwiki.php?n=Main.tus,tus,Great Lakes - St. Lawrence,,,*,fv_skaru_re_kmw.kmn,,tus,
Wendat,http://www.languagegeek.com/fvwiki/pmwiki.php?n=Main.wya,wya,Great Lakes - St. Lawrence,,,*,fv_wendat_kmw.kmn,,wya,
Wôbanakiôdwawôgan,http://www.languagegeek.com/fvwiki/pmwiki.php?n=Main.abe,abe,Great Lakes - St. Lawrence,,,*,fv_wobanakiodwawogan_kmw.kmn,,abe,
Australian,http://www.languagegeek.com/fvwiki/pmwiki.php?n=Main.Au,Au,Pacific,,,*,fv_australian_kmw.kmn,,eng,
Māori,http://www.languagegeek.com/fvwiki/pmwiki.php?n=Main.mri,mri,Pacific,,,*,fv_maori_kmw.kmn,,mri,
Blackfoot,http://www.languagegeek.com/fvwiki/pmwiki.php?n=Main.bla,bla,Prairies,,,*,fv_blackfoot_kmw.kmn,,bla,
Cree - Roman Orthography,http://www.languagegeek.com/fvwiki/pmwiki.php?n=Main.cre-latn,cre-latn,Prairies,,,*,fv_cree_latin_kmw.kmn,,cre,
Dakota,http://www.languagegeek.com/fvwiki/pmwiki.php?n=Main.dak-mb,dak-mb,Prairies,,,*,fv_dakota_mb_kmw.kmn,,dak,
Dakot̄a,http://www.languagegeek.com/fvwiki/pmwiki.php?n=Main.dak-sk,dak-sk,Prairies,,,*,fV_dakota_sk_kmw.kmn,,dak,
Isga Iʔabi,http://www.languagegeek.com/fvwiki/pmwiki.php?n=Main.sto,sto,Prairies,,,*,fv_isga_iabi_kmw.kmn,,sto,
Lak̇ot̄a,http://www.languagegeek.com/fvwiki/pmwiki.php?n=Main.lkt-sk,lkt-sk,Prairies,,,*,fv_lakota.kmn,,lkt,
Nakoda,http://www.languagegeek.com/fvwiki/pmwiki.php?n=Main.asb-sk,asb-sk,Prairies,,,*,fv_nakoda_kmw.kmn,,asb,
Tsúùt'ínà,http://www.languagegeek.com/fvwiki/pmwiki.php?n=Main.srs,srs,Prairies,,,*,fv_tsuutina_kmw.kmn,,srs,
ᓀᐦᐃᔭᐍᐏᐣ,http://www.languagegeek.com/fvwiki/pmwiki.php?n=Main.crk,crk,Prairies,,,*,fv_plains_cree_kmw.kmn,,crk,
Diné Bizaad,http://www.languagegeek.com/fvwiki/pmwiki.php?n=Main.nav,nav,South West,,,*,fv_dine_bizaad_kmw.kmn,,nav,
Dane-Z̲aa Z̲áágéʔ,bea,bea,Western Subarctic,,,*,fv_dane_zaa_zaage_kmw.kmn,,bea,
Dene Dzage,http://www.languagegeek.com/fvwiki/pmwiki.php?n=Main.kkz,kkz,Western Subarctic,,,*,fv_dene_dzage_kmw.kmn,,kkz,
Dene Zhatié,http://www.languagegeek.com/fvwiki/pmwiki.php?n=Main.xsl,xsl,Western Subarctic,,,*,fv_dene_zhatie_kmw.kmn,,xsl,
Dënesųłıné,http://www.languagegeek.com/fvwiki/pmwiki.php?n=Main.chp-nt,chp-nt,Western Subarctic,fv_denesuline_epsilon.kmn,,,fv_denesuline_epsilon_kmw.kmn,,chp,Missing ethnologuecodes
Dɛnɛsųłiné,http://www.languagegeek.com/fvwiki/pmwiki.php?n=Main.chp-sk,chp-sk,Western Subarctic,,,*,fv_denesuline_kmw.kmn,,chp,
Gwich'in,http://www.languagegeek.com/fvwiki/pmwiki.php?n=Main.gwi,gwi,Western Subarctic,fv_gwichin.kmn,,*,fv_gwichin_kmw.kmn,,gwi,Missing welcome; ethnologuecodes
Hän,http://www.languagegeek.com/fvwiki/pmwiki.php?n=Main.haa,haa,Western Subarctic,fv_han.kmn,,*,fv_han_kmw.kmn,,haa,
K'áshogot'ı̨nę́ Yatı̨́,http://www.languagegeek.com/fvwiki/pmwiki.php?n=Main.scs-kas,scs-kas,Western Subarctic,,,*,fv_kashogotine_yati_kmw.kmn,,scs,
Łingít,http://www.languagegeek.com/fvwiki/pmwiki.php?n=Main.tli,tli,Western Subarctic,,,*,fv_tlingit_kmw.kmn,,tli,
Nee'aanděg',http://www.languagegeek.com/fvwiki/pmwiki.php?n=Main.tcb,tcb,Western Subarctic,,,*,fv_neeaandeg_kmw.kmn,,tcb,
Nee'aaneegn',http://www.languagegeek.com/fvwiki/pmwiki.php?n=Main.tau,tau,Western Subarctic,,,*,fv_neeaaneegn_kmw.kmn,,tau,
Northern Tutchone,http://www.languagegeek.com/fvwiki/pmwiki.php?n=Main.ttm,ttm,Western Subarctic,fv_northern_tutchone.kmn,,*,fv_northern_tutchone_kmw.kmn,,ttm,
Sahtúgot'ı̨nę́ Yatı̨́,http://www.languagegeek.com/fvwiki/pmwiki.php?n=Main.scs-sah,scs-sah,Western Subarctic,,,*,fv_sahugotine_yati_kmw.kmn,,scs,
Shıhgot'ı̨nę́ Yatı̨́,http://www.languagegeek.com/fvwiki/pmwiki.php?n=Main.scs-shi,scs-shi,Western Subarctic,,,*,fv_shihgotine_yati_kmw.kmn,,scs,
Southern Tutchone,http://www.languagegeek.com/fvwiki/pmwiki.php?n=Main.tce,tce,Western Subarctic,fv_southern_tutchone.kmn,,*,fv_southern_tutchone_kmw.kmn,,tce,
Tāgizi Dene,http://www.languagegeek.com/fvwiki/pmwiki.php?n=Main.tgx,tgx,Western Subarctic,fv_tagizi_dene.kmn,,*,fv_tagizi_dene_kmw.kmn,,tgx,
Tłı̨chǫ Yatıı̀,http://www.languagegeek.com/fvwiki/pmwiki.php?n=Main.dgr,dgr,Western Subarctic,,,*,fv_tlicho_yatii_kmw.kmn,,dgr,
ᑌᓀ ᔭᕠᐁ,http://www.languagegeek.com/fvwiki/pmwiki.php?n=Main.chp-cans-mb,chp-cans-mb,Western Subarctic,,,*,fv_dene_mb_kmw.kmn,,chp,
ᑌᓀ ᔭᕱᐁ,http://www.languagegeek.com/fvwiki/pmwiki.php?n=Main.chp-cans-nt,chp-cans-nt,Western Subarctic,,,*,fv_dene_nt_kmw.kmn,,chp,
